hotel_id,adj_r2,rmse,mape,n_features,n_observations,status
Hotel_01,0.7379048414815685,48.70186984298813,12.143462423891355,4,554,Success
Hotel_02,0.4649624434576204,11.317197223647826,9.230958071557918,12,425,Success
Hotel_03,0.8372885580978318,66.26702692345856,14.953600231733338,8,396,Success
Hotel_04,0.8942237942475125,29.396232219427112,11.354531039366911,14,620,Success
Hotel_05,0.8656024243956928,74.60339147808075,14.080548792320108,9,675,Success
Hotel_06,0.7309039530044521,42.04308069774099,9.124443566161064,4,373,Success
Hotel_07,0.7266973952343911,21.99218022320014,8.762234925870219,8,675,Success
Hotel_09,0.8210448696166577,24.853026585442844,2.812865389914201,14,39,Success
Hotel_10,0.7938605719400202,8.664158646851927,3.3130717761717374,33,602,Success
Hotel_12,0.4940030415909443,73.54874256529261,19.722274112374688,10,439,Success
Hotel_13,0.0,0.0,0.0,0,0,Excluded: Data quality issues
Hotel_14,0.6326113682701433,24.56807987436081,6.632690515011025,22,676,Success
Hotel_15,0.0,0.0,0.0,0,0,Excluded: Data quality issues
Hotel_17,0.5921096006407498,68.11171564081181,11.463492153825213,44,593,Success
Hotel_18,0.5430134607596344,35.91329805574238,23.45973416309159,34,369,Success
Hotel_19,0.6831346345473621,34.31881786648754,8.638633833712355,12,48,Success
Hotel_20,0.5268278338124763,32.81503720426734,6.137603629375431,17,192,Success
Hotel_21,0.47012096859002706,45.05789047203026,10.847054814925242,11,640,Success
Hotel_22,0.3965604386826216,19.678270948255506,7.138514030299134,7,670,Success
Hotel_23,0.7015462532759751,21.28283778949394,5.247987450683232,27,676,Success
Hotel_24,0.5501878373293949,30.20459514702224,18.36530840960665,10,609,Success
Hotel_25,0.6250991856134485,24.46951758656221,10.660341820551974,43,669,Success
Hotel_26,0.6514158287574429,31.767224026797695,6.5737102923951864,12,670,Success
Hotel_27,0.7395033813387935,58.13403012777421,14.802121077441635,16,425,Success
Hotel_28,0.7815239088074029,40.52506022220098,18.126807003871388,35,595,Success
Hotel_29,0.4534437001636308,26.98709013170983,11.874634169923919,17,162,Success
Hotel_30,0.2966790077562672,36.772397218292156,18.940239786051833,5,675,Success
Hotel_31,0.5015035867853135,121.42535062997143,28.189713047631482,22,676,Success
Hotel_32,0.0,0.0,0.0,0,0,Excluded: Data quality issues
Hotel_33,0.2463671187520382,27.80391636145819,9.554961332261671,10,675,Success
Hotel_34,0.0,0.0,0.0,0,0,Excluded: Data quality issues
Hotel_35,0.6528214744948694,32.62652537628175,11.121791355978381,15,393,Success
Hotel_36,0.64635858413269,29.66930236997863,25.646250628805056,5,675,Success
Hotel_37,0.23953644804019936,30.621712439797488,12.24277095878529,1,393,Success
Hotel_38,0.6962525832862498,57.64697997352912,14.639058757056128,18,357,Success
Hotel_39,0.18040743532928727,408.8607047919853,8.860612648529763,33,350,Success
Hotel_40,0.5642893323785309,26.247448148373593,7.3564340820187795,13,441,Success
Hotel_41,0.7559405161548298,33.58984745043413,7.600908671468891,18,425,Success
